"id"	"title"
1041	"Shakespeare's Sonnets"
1045	"Venus and Adonis"
1100	"The First Part of Henry the Sixth"
1101	"The Second Part of King Henry the Sixth"
1102	"The Third Part of King Henry the Sixth"
1103	"King Richard III"
1104	"The Comedy of Errors"
1105	"The Sonnets"
1106	"The Tragedy of Titus Andronicus"
1107	"The Taming of the Shrew"
1108	"The Two Gentlemen of Verona"
1109	"Love's Labour's Lost"
1110	"King John"
1111	"King Richard the Second"
1112	"The Tragedy of Romeo and Juliet"
1113	"A Midsummer Night's Dream"
1114	"The Merchant of Venice"
1115	"The First Part of King Henry the Fourth"
1116	"The Merry Wives of Windsor"
1117	"Second Part of King Henry IV"
1118	"Much Ado about Nothing"
1119	"The Life of King Henry the Fifth"
1120	"The Tragedy of Julius Caesar"
1121	"As You Like It"
1122	"The Tragedy of Hamlet, Prince of Denmark"
1123	"Twelfth Night; Or, What You Will"
1124	"The History of Troilus and Cressida"
1125	"All's Well That Ends Well"
1126	"Measure for Measure"
1127	"The Tragedy of Othello, Moor of Venice"
1128	"The Tragedy of King Lear"
1129	"The Tragedy of Macbeth"
1130	"The Tragedy of Antony and Cleopatra"
1131	"The Tragedy of Coriolanus"
1132	"The Life of Timon of Athens"
1133	"Cymbeline"
1134	"The Winter's Tale"
1135	"The Tempest"
1136	"King Henry the Eighth"
1137	"A Lover's Complaint"
1500	"King Henry VI, First Part"
1501	"History of King Henry the Sixth, Second Part"
1502	"The History of King Henry the Sixth, Third Part"
1503	"The Tragedy of King Richard III"
1505	"The Rape of Lucrece"
1512	"The Tragedy of King Richard the Second"
1513	"Romeo and Juliet"
1516	"King Henry IV, the First Part"
1518	"King Henry IV, Second Part"
1521	"The Life of King Henry V"
1522	"Julius Caesar"
1524	"Hamlet, Prince of Denmark"
1525	"The Phoenix and the Turtle"
1531	"Othello, the Moor of Venice"
1533	"Macbeth"
1534	"Antony and Cleopatra"
1537	"Pericles, Prince of Tyre"
1541	"The Life of Henry the Eighth"
1544	"The Passionate Pilgrim"
1546	"Sonnets on Sundry Notes of Music"
1765	"Henry VI, Part 1"
1771	"Titus Andronicus"
1773	"Two Gentlemen of Verona"
1776	"King Richard II"
1780	"King Henry IV, Part 1"
1782	"King Henry IV, Part 2"
1784	"King Henry V"
1787	"Hamlet"
1790	"Troilus and Cressida"
1793	"Othello"
1794	"King Lear"
1797	"Coriolanus"
1798	"Timon of Athens"
1802	"King Henry VIII"
2247	"Twelfth Night"
2250	"Richard II"
2251	"Henry IV, Part 1"
2253	"Henry V"
2255	"Henry VI, Part 2"
2256	"Henry VI, Part 3"
2257	"Richard III"
2258	"Henry VIII"
2270	"Shakespeare's First Folio"
9077	"The Tragicall Historie of Hamlet, Prince of Denmarke
The First ('Bad') Quarto"
10606	"The Tragedie of Hamlet, Prince of Denmark
A Study with the Text of the Folio of 1623"
12578	"Shakespeare's play of the Merchant of Venice
Arranged for Representation at the Princess's Theatre, with Historical and Explanatory Notes by Charles Kean, F.S.A."
22791	"King Henry the Fifth
Arranged for Representation at the Princess's Theatre"
28334	"The New Hudson Shakespeare: Julius Cæsar"
47518	"Shakespeare's Comedy of The Tempest"
47960	"Shakespeare's Tragedy of Romeo and Juliet"
