Search results for "spring"
DOC_ID		LINE (in specific work)
1500		2211
1106		2956
1128		3350
1502		2105
1128		1255
1787		823
1128		482
1502		1688
1794		3349
1112		4333
1129		325
1502		2688
1111		2152
1100		1441
2250		2304
1765		1848
1765		1441
2250		2105
1129		1257
1115		3611
1111		2324
1546		213
1546		90
1544		143
1111		372
1103		1988
1502		4234
1115		581
1771		2956
1541		2418
1100		1848
1130		2092
1794		1254
1123		1991
1537		2953
1773		688
1102		3114
1101		1820
1122		4552
1794		481
1537		113
1111		2957
1111		2960
2250		207
1117		980
1534		2889
1122		4020
1041		903
1501		3418
1101		1744
1776		371
1533		1385
1117		3335
1503		2818
1533		124
1041		1072
1041		19
1104		1185
2247		1931
1108		679
1102		2048
1776		2153
1101		2710
1776		2325
1133		321
1524		5182
1501		2207
1102		1697
1133		1372
1776		2958
1776		2961
1109		3506
1109		3503
1501		2105
1105		227
1524		876
1045		231
1113		772
1780		577
1102		1354
1505		130
1113		801
1119		1343
1045		201
1041		1660
1105		1110
1505		453
1105		1279
1045		185
1505		765
1041		1733
1109		2169
1505		1068
1105		1867
1134		2458
1105		1940
1521		1369
1134		3614
1124		665
1045		803
1518		3802
1780		3609
1505		1737
1784		1339
1518		837
1787		4020
1135		2224
1122		823
1516		4241
1782		980
1512		180
1109		368
1109		362
1516		423
1136		2049
1802		2115
1513		5149
1513		3008
1787		4552
1112		2563
1790		608
1782		3334
1045		973
1512		2509
1121		3492
1512		3589
1512		3582
1121		3487
1121		3482
1121		3477
1121		3475
1500		1655
1512		2748

Search results for "summer"
DOC_ID		LINE (in specific work)
1106		1170
1500		549
1115		2348
1116		1024
1125		3232
1105		1983
1765		643
1541		3840
1114		1808
1103		4023
1041		1600
1505		1031
1102		1355
1501		1886
1109		2798
1780		578
1113		1362
1101		1572
1117		2441
1136		3107
1503		5739
1102		1648
1782		2440
1102		1657
1133		3148
1109		3520
1106		2957
1041		1737
1790		2312
1533		729
1041		1160
1537		1613
1518		2683
1105		1807
1771		1170
1111		513
1105		1860
1103		3208
1518		3882
1041		308
1105		515
1802		3196
1132		1939
1133		2206
1105		290
1105		1944
1103		112
1512		2576
1531		4573
2250		364
1131		3813
1109		369
1111		2206
1105		304
2250		2163
1119		4260
1503		68
1114		1707
1776		512
2247		511
1041		82
1544		181
1117		3395
1521		203
1135		2543
1110		3189
1127		3407
1134		2451
1502		1689
1114		3359
1784		4262
1780		2345
1119		400
1793		3409
1129		758
1784		396
1112		2107
1115		582
1124		2553
1512		355
1782		3394
1112		743
1100		643
1041		1776
1134		273
1771		2957
1502		2053
1798		1931
1516		423
1105		1367
1502		2044
1521		4941
1113		801
1134		2167
1797		3812
1113		800
1513		829
1503		4580
1041		97
1544		183
1045		974
1123		641
1513		2470
1041		1653
1776		2207
1118		1274

Search results for "fall"
DOC_ID		LINE (in specific work)
1101		2830
1124		2113
1790		2309
1790		2311
1132		1733
1117		1836
1790		2317
1112		2709
1130		2704
1118		374
1790		3267
1131		2301
1104		870
1782		3231
1119		1800
1790		2320
1512		1972
1128		3475
1111		3358
1802		3325
1524		2718
1776		1707
1787		4891
1135		1430
1129		634
1531		5112
1524		2579
1802		1363
1780		2509
1802		970
1518		3699
1121		540
1802		2877
1765		1766
1041		2572
1794		2018
1133		3772
1793		3624
1541		4707
1512		1981
1794		4400
2247		1902
1127		4229
1500		2225
1776		1225
1133		553
1126		2684
1533		2678
1120		1832
1503		652
1128		2305
1531		2898
1502		4513
1531		721
1103		4192
1544		147
1505		1769
1771		1180
1794		2304
1110		2994
1110		1594
1500		2075
1135		1423
1521		4436
1773		2743
1776		3344
1119		4070
1776		3357
1131		1650
1541		3448
1776		3343
1045		879
1503		1068
1537		3939
1518		5130
1784		1994
1531		4909
1790		1554
1114		577
1101		327
1782		1836
1790		3411
1798		3123
1773		517
1522		2752
1522		2068
